start_id,total,yes,prob_yes
3128,1,1,1.0
3468,2,1,0.5
3400,11,3,0.2727272727272727
3510,8,2,0.25
267,309,77,0.24919093851132687
546,301,65,0.2159468438538206
3312,19,4,0.21052631578947367
120,5,1,0.2
3507,5,1,0.2
474,353,70,0.19830028328611898
3474,99,19,0.1919191919191919
3659,115,22,0.19130434782608696
486,379,72,0.18997361477572558
470,392,74,0.18877551020408162
490,615,112,0.1821138211382114
325,180,30,0.16666666666666666
353,12,2,0.16666666666666666
3325,6,1,0.16666666666666666
498,539,88,0.16326530612244897
537,443,72,0.16252821670428894
485,229,37,0.1615720524017467
461,323,52,0.1609907120743034
334,368,59,0.16032608695652173
505,513,81,0.15789473684210525
322,13,2,0.15384615384615385
254,120,18,0.15
3658,100,15,0.15
503,394,58,0.14720812182741116
466,322,47,0.14596273291925466
491,344,50,0.14534883720930233
492,435,63,0.14482758620689656
379,602,86,0.14285714285714285
533,175,25,0.14285714285714285
536,281,40,0.1423487544483986
453,338,48,0.14201183431952663
3235,299,42,0.14046822742474915
462,289,40,0.1384083044982699
545,381,52,0.13648293963254593
3660,176,24,0.13636363636363635
3152,22,3,0.13636363636363635
249,69,9,0.13043478260869565
465,626,81,0.12939297124600638
3129,31,4,0.12903225806451613
362,135,17,0.1259259259259259
459,446,56,0.12556053811659193
482,345,43,0.1246376811594203
3376,41,5,0.12195121951219512
442,197,24,0.1218274111675127
526,337,41,0.12166172106824925
3641,403,48,0.11910669975186104
402,636,75,0.1179245283018868
3305,17,2,0.11764705882352941
3463,222,26,0.11711711711711711
529,154,18,0.11688311688311688
303,129,15,0.11627906976744186
168,460,53,0.11521739130434783
523,614,70,0.11400651465798045
472,556,62,0.11151079136690648
337,36,4,0.1111111111111111
3288,18,2,0.1111111111111111
243,9,1,0.1111111111111111
3369,9,1,0.1111111111111111
3397,9,1,0.1111111111111111
3455,9,1,0.1111111111111111
540,363,40,0.11019283746556474
507,383,42,0.10966057441253264
369,119,13,0.1092436974789916
501,129,14,0.10852713178294573
494,444,48,0.10810810810810811
2003,290,31,0.10689655172413794
3148,19,2,0.10526315789473684
3643,177,18,0.1016949152542373
477,448,45,0.10044642857142858
274,20,2,0.1
3284,10,1,0.1
3534,10,1,0.1
3244,201,20,0.09950248756218906
478,192,19,0.09895833333333333
293,511,50,0.09784735812133072
3635,185,18,0.0972972972972973
72,175,17,0.09714285714285714
497,663,64,0.09653092006033183
345,239,23,0.09623430962343096
3143,52,5,0.09615384615384616
223,116,11,0.09482758620689655
509,371,35,0.09433962264150944
441,128,12,0.09375
127,342,32,0.0935672514619883
3258,342,32,0.0935672514619883
469,182,17,0.09340659340659341
487,269,25,0.09293680297397769
388,237,22,0.09282700421940929
368,334,31,0.09281437125748503
528,282,26,0.09219858156028368
454,77,7,0.09090909090909091
3553,11,1,0.09090909090909091
527,378,34,0.08994708994708994
3259,189,17,0.08994708994708994
515,218,19,0.0871559633027523
164,115,10,0.08695652173913043
3161,58,5,0.08620689655172414
479,302,26,0.08609271523178808
174,303,26,0.0858085808580858
336,178,15,0.08426966292134831
3357,12,1,0.08333333333333333
346,175,14,0.08
518,364,29,0.07967032967032966
448,254,20,0.07874015748031496
284,483,38,0.07867494824016563
3255,615,48,0.07804878048780488
496,311,24,0.07717041800643087
524,195,15,0.07692307692307693
473,65,5,0.07692307692307693
504,430,33,0.07674418604651163
517,475,36,0.07578947368421053
380,212,16,0.07547169811320754
530,162,12,0.07407407407407407
3231,27,2,0.07407407407407407
382,366,27,0.07377049180327869
326,273,20,0.07326007326007326
3260,234,17,0.07264957264957266
229,470,34,0.07234042553191489
445,209,15,0.07177033492822966
248,42,3,0.07142857142857142
3441,14,1,0.07142857142857142
495,243,17,0.06995884773662552
405,172,12,0.06976744186046512
446,521,36,0.0690978886756238
2012,203,14,0.06896551724137931
237,264,18,0.06818181818181818
323,44,3,0.06818181818181818
167,253,17,0.06719367588932806
3427,269,18,0.06691449814126393
385,150,10,0.06666666666666667
450,381,25,0.06561679790026247
383,245,16,0.0653061224489796
519,1616,105,0.06497524752475248
3462,62,4,0.06451612903225806
247,94,6,0.06382978723404255
161,207,13,0.06280193236714976
2023,80,5,0.0625
260,32,2,0.0625
3155,32,2,0.0625
3304,16,1,0.0625
297,408,25,0.061274509803921566
484,297,18,0.06060606060606061
447,253,15,0.05928853754940711
3434,17,1,0.058823529411764705
3458,222,13,0.05855855855855856
3224,242,14,0.05785123966942149
347,208,12,0.057692307692307696
3145,35,2,0.05714285714285714
480,228,13,0.05701754385964912
3472,89,5,0.056179775280898875
513,179,10,0.055865921787709494
310,18,1,0.05555555555555555
3359,18,1,0.05555555555555555
476,365,20,0.0547945205479452
483,367,20,0.05449591280653951
449,147,8,0.05442176870748299
212,240,13,0.05416666666666667
2021,261,14,0.05363984674329502
315,94,5,0.05319148936170213
335,226,12,0.05309734513274336
3160,38,2,0.05263157894736842
3307,19,1,0.05263157894736842
468,288,15,0.052083333333333336
3372,40,2,0.05
358,402,20,0.04975124378109453
3223,101,5,0.04950495049504951
458,226,11,0.048672566371681415
2010,103,5,0.04854368932038835
312,165,8,0.048484848484848485
500,186,9,0.04838709677419355
355,83,4,0.04819277108433735
438,251,12,0.04780876494023904
433,272,13,0.04779411764705882
285,568,27,0.04753521126760563
3263,426,20,0.046948356807511735
435,851,39,0.045828437132784956
520,131,6,0.04580152671755725
3467,153,7,0.0457516339869281
3172,44,2,0.045454545454545456
3374,22,1,0.045454545454545456
440,155,7,0.04516129032258064
3656,89,4,0.0449438202247191
342,90,4,0.044444444444444446
150,91,4,0.04395604395604396
268,139,6,0.04316546762589928
394,141,6,0.0425531914893617
128,236,10,0.0423728813559322
280,118,5,0.0423728813559322
3443,214,9,0.04205607476635514
3459,120,5,0.041666666666666664
522,96,4,0.041666666666666664
3163,72,3,0.041666666666666664
3106,24,1,0.041666666666666664
3286,24,1,0.041666666666666664
3336,24,1,0.041666666666666664
426,242,10,0.04132231404958678
3132,121,5,0.04132231404958678
3170,75,3,0.04
516,50,2,0.04
3141,177,7,0.03954802259887006
525,127,5,0.03937007874015748
3236,127,5,0.03937007874015748
253,153,6,0.0392156862745098
152,51,2,0.0392156862745098
251,181,7,0.03867403314917127
423,156,6,0.038461538461538464
259,52,2,0.038461538461538464
3176,52,2,0.038461538461538464
351,53,2,0.03773584905660377
508,161,6,0.037267080745341616
457,271,10,0.03690036900369004
281,137,5,0.0364963503649635
401,196,7,0.03571428571428571
151,339,12,0.035398230088495575
341,57,2,0.03508771929824561
377,87,3,0.034482758620689655
531,233,8,0.034334763948497854
3301,59,2,0.03389830508474576
252,119,4,0.03361344537815126
3431,179,6,0.0335195530726257
432,359,12,0.033426183844011144
301,210,7,0.03333333333333333
357,120,4,0.03333333333333333
400,30,1,0.03333333333333333
3289,30,1,0.03333333333333333
393,91,3,0.03296703296703297
79,62,2,0.03225806451612903
467,31,1,0.03225806451612903
3173,31,1,0.03225806451612903
320,63,2,0.031746031746031744
330,69,2,0.028985507246376812
3140,69,2,0.028985507246376812
3632,208,6,0.028846153846153848
386,70,2,0.02857142857142857
228,71,2,0.028169014084507043
317,249,7,0.028112449799196786
309,73,2,0.0273972602739726
410,224,6,0.026785714285714284
514,150,4,0.02666666666666667
3233,413,11,0.026634382566585957
422,76,2,0.02631578947368421
389,38,1,0.02631578947368421
3418,38,1,0.02631578947368421
319,115,3,0.02608695652173913
236,269,7,0.026022304832713755
327,163,4,0.024539877300613498
266,41,1,0.024390243902439025
361,167,4,0.023952095808383235
439,210,5,0.023809523809523808
3166,42,1,0.023809523809523808
456,128,3,0.0234375
2008,88,2,0.022727272727272728
392,44,1,0.022727272727272728
387,178,4,0.02247191011235955
3131,45,1,0.022222222222222223
499,279,6,0.021505376344086023
3134,47,1,0.02127659574468085
3164,145,3,0.020689655172413793
340,49,1,0.02040816326530612
391,49,1,0.02040816326530612
3162,49,1,0.02040816326530612
3435,247,5,0.020242914979757085
403,149,3,0.020134228187919462
359,400,8,0.02
305,153,3,0.0196078431372549
311,102,2,0.0196078431372549
3142,102,2,0.0196078431372549
360,51,1,0.0196078431372549
3356,51,1,0.0196078431372549
2006,108,2,0.018518518518518517
308,54,1,0.018518518518518517
3168,55,1,0.01818181818181818
356,56,1,0.017857142857142856
3409,57,1,0.017543859649122806
173,347,6,0.01729106628242075
276,58,1,0.017241379310344827
532,61,1,0.01639344262295082
146,68,1,0.014705882352941176
3171,68,1,0.014705882352941176
3466,138,2,0.014492753623188406
3156,69,1,0.014492753623188406
3165,69,1,0.014492753623188406
307,210,3,0.014285714285714285
296,73,1,0.0136986301369863
3360,73,1,0.0136986301369863
3461,74,1,0.013513513513513514
3002,231,3,0.012987012987012988
502,155,2,0.012903225806451613
417,162,2,0.012345679012345678
3158,163,2,0.012269938650306749
257,82,1,0.012195121951219513
328,169,2,0.011834319526627219
3159,169,2,0.011834319526627219
412,86,1,0.011627906976744186
304,95,1,0.010526315789473684
455,103,1,0.009708737864077669
238,106,1,0.009433962264150943
3167,129,1,0.007751937984496124
195,130,1,0.007692307692307693
265,169,1,0.005917159763313609
350,122,0,0.0
302,112,0,0.0
3175,103,0,0.0
295,98,0,0.0
363,92,0,0.0
3093,85,0,0.0
3090,76,0,0.0
3147,76,0,0.0
539,73,0,0.0
291,72,0,0.0
3137,68,0,0.0
3429,67,0,0.0
460,65,0,0.0
3256,65,0,0.0
279,64,0,0.0
376,60,0,0.0
411,60,0,0.0
264,59,0,0.0
3107,58,0,0.0
349,57,0,0.0
430,55,0,0.0
415,53,0,0.0
2002,53,0,0.0
3086,53,0,0.0
306,49,0,0.0
3243,49,0,0.0
3177,48,0,0.0
239,47,0,0.0
3016,47,0,0.0
3092,47,0,0.0
3112,46,0,0.0
481,45,0,0.0
427,43,0,0.0
2009,43,0,0.0
3113,43,0,0.0
3378,42,0,0.0
3402,42,0,0.0
366,41,0,0.0
3423,41,0,0.0
534,40,0,0.0
3283,40,0,0.0
3440,40,0,0.0
2000,39,0,0.0
3282,36,0,0.0
3346,36,0,0.0
332,35,0,0.0
3110,35,0,0.0
3293,35,0,0.0
143,34,0,0.0
3078,34,0,0.0
3136,34,0,0.0
3150,34,0,0.0
3314,34,0,0.0
3285,33,0,0.0
331,32,0,0.0
3242,32,0,0.0
314,31,0,0.0
406,31,0,0.0
408,31,0,0.0
3226,31,0,0.0
3350,31,0,0.0
3382,31,0,0.0
244,30,0,0.0
3238,30,0,0.0
3447,30,0,0.0
258,29,0,0.0
416,29,0,0.0
3361,29,0,0.0
3430,29,0,0.0
3096,28,0,0.0
3239,28,0,0.0
157,27,0,0.0
270,27,0,0.0
282,27,0,0.0
3300,27,0,0.0
3315,27,0,0.0
339,26,0,0.0
390,26,0,0.0
3295,25,0,0.0
3375,25,0,0.0
3119,24,0,0.0
3151,24,0,0.0
3489,24,0,0.0
3109,23,0,0.0
3321,23,0,0.0
3355,23,0,0.0
217,22,0,0.0
3087,22,0,0.0
3108,22,0,0.0
3438,22,0,0.0
3139,21,0,0.0
3320,21,0,0.0
3354,21,0,0.0
3362,21,0,0.0
3365,21,0,0.0
3383,21,0,0.0
3576,21,0,0.0
313,20,0,0.0
3077,20,0,0.0
3085,20,0,0.0
3100,20,0,0.0
3146,20,0,0.0
3308,20,0,0.0
321,19,0,0.0
3101,19,0,0.0
3116,19,0,0.0
3135,19,0,0.0
3169,19,0,0.0
3318,19,0,0.0
232,18,0,0.0
242,18,0,0.0
399,18,0,0.0
418,18,0,0.0
3232,18,0,0.0
3414,18,0,0.0
3449,18,0,0.0
365,17,0,0.0
471,17,0,0.0
2022,17,0,0.0
3290,17,0,0.0
3292,17,0,0.0
3306,17,0,0.0
3349,17,0,0.0
3367,17,0,0.0
3521,17,0,0.0
3593,17,0,0.0
324,16,0,0.0
354,16,0,0.0
3049,16,0,0.0
3115,16,0,0.0
3298,16,0,0.0
3368,16,0,0.0
3486,16,0,0.0
245,15,0,0.0
275,15,0,0.0
420,15,0,0.0
3094,15,0,0.0
3102,15,0,0.0
3178,15,0,0.0
3328,15,0,0.0
3335,15,0,0.0
3341,15,0,0.0
3396,15,0,0.0
3453,15,0,0.0
3539,15,0,0.0
3637,15,0,0.0
3663,15,0,0.0
364,14,0,0.0
3082,14,0,0.0
3118,14,0,0.0
3296,14,0,0.0
3331,14,0,0.0
3358,14,0,0.0
3373,14,0,0.0
3386,14,0,0.0
3417,14,0,0.0
3420,14,0,0.0
82,13,0,0.0
83,13,0,0.0
241,13,0,0.0
398,13,0,0.0
3081,13,0,0.0
3103,13,0,0.0
3105,13,0,0.0
3294,13,0,0.0
3408,13,0,0.0
3422,13,0,0.0
3552,13,0,0.0
3558,13,0,0.0
3562,13,0,0.0
419,12,0,0.0
3047,12,0,0.0
3411,12,0,0.0
3415,12,0,0.0
3581,12,0,0.0
261,11,0,0.0
3303,11,0,0.0
3310,11,0,0.0
3316,11,0,0.0
3388,11,0,0.0
3437,11,0,0.0
3452,11,0,0.0
3549,11,0,0.0
3664,11,0,0.0
262,10,0,0.0
407,10,0,0.0
3064,10,0,0.0
3067,10,0,0.0
3095,10,0,0.0
3323,10,0,0.0
3370,10,0,0.0
3384,10,0,0.0
3407,10,0,0.0
3410,10,0,0.0
3413,10,0,0.0
3425,10,0,0.0
3536,10,0,0.0
3537,10,0,0.0
396,9,0,0.0
397,9,0,0.0
3074,9,0,0.0
3117,9,0,0.0
3317,9,0,0.0
3364,9,0,0.0
3389,9,0,0.0
3412,9,0,0.0
3538,9,0,0.0
3569,9,0,0.0
414,8,0,0.0
3054,8,0,0.0
3068,8,0,0.0
3076,8,0,0.0
3126,8,0,0.0
3351,8,0,0.0
3366,8,0,0.0
3404,8,0,0.0
3583,8,0,0.0
316,7,0,0.0
343,7,0,0.0
344,7,0,0.0
3050,7,0,0.0
3083,7,0,0.0
3157,7,0,0.0
3180,7,0,0.0
3297,7,0,0.0
3311,7,0,0.0
3454,7,0,0.0
3496,7,0,0.0
3542,7,0,0.0
3580,7,0,0.0
3599,7,0,0.0
3648,7,0,0.0
144,6,0,0.0
373,6,0,0.0
437,6,0,0.0
3058,6,0,0.0
3060,6,0,0.0
3088,6,0,0.0
3125,6,0,0.0
3319,6,0,0.0
3332,6,0,0.0
3363,6,0,0.0
3392,6,0,0.0
3398,6,0,0.0
3405,6,0,0.0
3544,6,0,0.0
3579,6,0,0.0
3591,6,0,0.0
278,5,0,0.0
2001,5,0,0.0
3066,5,0,0.0
3144,5,0,0.0
3313,5,0,0.0
3345,5,0,0.0
3391,5,0,0.0
3478,5,0,0.0
3497,5,0,0.0
3509,5,0,0.0
3511,5,0,0.0
3518,5,0,0.0
3526,5,0,0.0
3529,5,0,0.0
3531,5,0,0.0
3547,5,0,0.0
3555,5,0,0.0
3571,5,0,0.0
3605,5,0,0.0
3613,5,0,0.0
3617,5,0,0.0
119,4,0,0.0
421,4,0,0.0
436,4,0,0.0
3046,4,0,0.0
3055,4,0,0.0
3057,4,0,0.0
3063,4,0,0.0
3070,4,0,0.0
3073,4,0,0.0
3080,4,0,0.0
3124,4,0,0.0
3302,4,0,0.0
3324,4,0,0.0
3329,4,0,0.0
3339,4,0,0.0
3387,4,0,0.0
3419,4,0,0.0
3456,4,0,0.0
3520,4,0,0.0
3545,4,0,0.0
3563,4,0,0.0
3584,4,0,0.0
3592,4,0,0.0
3616,4,0,0.0
3623,4,0,0.0
216,3,0,0.0
289,3,0,0.0
3042,3,0,0.0
3052,3,0,0.0
3056,3,0,0.0
3062,3,0,0.0
3091,3,0,0.0
3241,3,0,0.0
3249,3,0,0.0
3322,3,0,0.0
3343,3,0,0.0
3344,3,0,0.0
3347,3,0,0.0
3371,3,0,0.0
3377,3,0,0.0
3379,3,0,0.0
3390,3,0,0.0
3403,3,0,0.0
3469,3,0,0.0
3490,3,0,0.0
3493,3,0,0.0
3494,3,0,0.0
3499,3,0,0.0
3533,3,0,0.0
3572,3,0,0.0
3574,3,0,0.0
3577,3,0,0.0
3578,3,0,0.0
3587,3,0,0.0
3588,3,0,0.0
3603,3,0,0.0
3607,3,0,0.0
3614,3,0,0.0
3615,3,0,0.0
3618,3,0,0.0
3646,3,0,0.0
3650,3,0,0.0
3653,3,0,0.0
372,2,0,0.0
409,2,0,0.0
443,2,0,0.0
2005,2,0,0.0
3041,2,0,0.0
3044,2,0,0.0
3048,2,0,0.0
3061,2,0,0.0
3065,2,0,0.0
3069,2,0,0.0
3071,2,0,0.0
3123,2,0,0.0
3330,2,0,0.0
3338,2,0,0.0
3393,2,0,0.0
3399,2,0,0.0
3477,2,0,0.0
3498,2,0,0.0
3502,2,0,0.0
3506,2,0,0.0
3516,2,0,0.0
3527,2,0,0.0
3540,2,0,0.0
3546,2,0,0.0
3561,2,0,0.0
3582,2,0,0.0
3586,2,0,0.0
3602,2,0,0.0
3604,2,0,0.0
3609,2,0,0.0
3611,2,0,0.0
3631,2,0,0.0
3644,2,0,0.0
3043,1,0,0.0
3072,1,0,0.0
3120,1,0,0.0
3121,1,0,0.0
3127,1,0,0.0
3130,1,0,0.0
3221,1,0,0.0
3309,1,0,0.0
3337,1,0,0.0
3348,1,0,0.0
3352,1,0,0.0
3401,1,0,0.0
3421,1,0,0.0
3424,1,0,0.0
3432,1,0,0.0
3491,1,0,0.0
3503,1,0,0.0
3504,1,0,0.0
3508,1,0,0.0
3513,1,0,0.0
3517,1,0,0.0
3522,1,0,0.0
3523,1,0,0.0
3530,1,0,0.0
3535,1,0,0.0
3543,1,0,0.0
3551,1,0,0.0
3554,1,0,0.0
3556,1,0,0.0
3557,1,0,0.0
3559,1,0,0.0
3560,1,0,0.0
3565,1,0,0.0
3566,1,0,0.0
3567,1,0,0.0
3568,1,0,0.0
3570,1,0,0.0
3573,1,0,0.0
3575,1,0,0.0
3589,1,0,0.0
3596,1,0,0.0
3597,1,0,0.0
3598,1,0,0.0
3606,1,0,0.0
3610,1,0,0.0
3612,1,0,0.0
3619,1,0,0.0
3625,1,0,0.0
3654,1,0,0.0
